ID de la réponse;Date de soumission;Dernière page;Date de lancement;Date de la dernière action;Avez-vous été confronté, que ce soit en tant que victime ou témoin, à des contenus haineux ou injurieux sur internet ?;De quelle nature étaient-ils ?  [Raciste];De quelle nature étaient-ils ?  [Antisémite];De quelle nature étaient-ils ?  [Xénophobe];De quelle nature étaient-ils ?  [Sexiste];De quelle nature étaient-ils ?  [LGBTphobe];De quelle nature étaient-ils ?  [En raison de votre religion];De quelle nature étaient-ils ?  [En raison d'un handicap];De quelle nature étaient-ils ?  [Diffamatoire];De quelle nature étaient-ils ?  [Injurieux];De quelle nature étaient-ils ?  [Harcèlement];De quelle nature étaient-ils ?  [Menace];De quelle nature étaient-ils ?  [Autre];Les avez-vous signalés au site qui les hébergeait ?;Si oui, quelle suite a été donnée à votre signalement ?;Si oui, quelle suite a été donnée à votre signalement ? [Autre];Si non, pourquoi ? ;Les avez-vous signalés à la justice ?;Si oui, une réponse judiciaire satisfaisante vous a-t-elle été apportée ?;Si oui, une réponse judiciaire satisfaisante vous a-t-elle été apportée ? [Autre];Si non, pourquoi ? ;Connaissez-vous la plateforme PHAROS, qui permet de signaler à la police et à la gendarmerie certains contenus et comportements illégaux observés sur internet ?;Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par des dispositifs de signalement accessibles et simples d’usage];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par la mise en place par les opérateurs numériques d’outils de détection automatique];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par la suppression de l’anonymat sur internet];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Je ne sais pas];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Autre];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Personne, internet doit être un espace libre et non régulé];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Les opérateurs numériques eux-mêmes];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une autorité indépendante (Défenseur des droits, CSA, HADOPI, ARCEP…)];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une administration nationale (ministère de l’Intérieur, de l’Économie…)];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une autorité ou une administration européenne];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [L’autorité judiciaire];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Je ne sais pas];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Autre];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine de mise à l’épreuve, de travail d’intérêt général ou de stage];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine d’amende];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine de prison];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [L’interdiction temporaire d’accéder à internet ou à un ou plusieurs sites internet];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Je ne sais pas];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Autre];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine de mise à l’épreuve, de travail d’intérêt général ou de stage];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine d’amende];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine de prison];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [L’interdiction temporaire d’exercer leur activité];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Je ne sais pas];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Autre];Vous avez ? ;Vous êtes ...
675;24/04/2019 10:10;3;24/04/2019 10:06;24/04/2019 10:10;Oui, souvent;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous pensez que cela est inutile;Oui;Non;Oui;Oui;Non;;Non;Oui;Non;Oui;Oui;Non;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
676;24/04/2019 10:41;3;24/04/2019 10:30;24/04/2019 10:41;Oui, de temps en temps;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Rage sur les jeux vidéos;Oui;Je ne sais pas;;;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;Oui;Non;;Non;Non;Oui;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 18 et 24 ans;Je ne souhaite pas répondre
677;24/04/2019 11:09;3;24/04/2019 11:05;24/04/2019 11:09;Oui, souvent;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous pensez que cela est inutile;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;;70 ans et plus;Une femme
678;24/04/2019 11:37;3;24/04/2019 11:33;24/04/2019 11:37;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Oui;;Oui;Autre;Certaines ont ete retirees d autres non;;Non;;;Vous pensez que cela est inutile;Oui;Oui;Oui;Oui;Non;;Non;Oui;Non;Non;Non;Non;Non;;Non;Oui;Oui;Non;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Une femme
679;24/04/2019 11:37;3;24/04/2019 11:35;24/04/2019 11:37;Oui, rarement;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;;Non;;;Vous ne le souhaitez pas;Non;;;Vous pensez que cela est inutile;Non;Oui;Non;Oui;Non;;Non;Non;Oui;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 18 et 24 ans;Une femme
680;24/04/2019 11:44;3;24/04/2019 11:41;24/04/2019 11:44;Oui, rarement;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Non;Non;Oui;Oui;Non;;Non;Oui;Non;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
681;;2;24/04/2019 12:02;24/04/2019 13:46;Oui, souvent;Oui;Oui;Non;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Reporters sans frontières (RSF, organisation de défense de la liberté de l'information, ici répondante) est régulièrement saisi de cas de harcèlement en ligne de journalistes, notamment de femmes journalistes. Les journalistes sont en effet particulièrement visés par la haine en ligne, du fait de leurs enquêtes ou de leurs analyses, par des individus ou entités qui cherchent à les faire taire, par des insultes, menaces ou tentatives d'intimidation. Ce phénomène peut avoir un réel effet dissuasif sur les journalistes, notamment en les poussant à l'autocensure. RSF est cependant également saisie régulièrement par des journalistes de cas de signalements abusifs des contenus qu'ils mettent en ligne, par des individus ou entités qui cherchent, par des signalements abusifs de ces contenus journalistiques aux plateformes, à les voir supprimés. Ce phénomène est prégnant surtout à l'étranger, mais il est à craindre que le dispositif prévu par la loi entrainera de tels signalement abusifs. On peut craindre par exemple que des contenus journalistiques portant sur des groupes extremistes, qui rapporteront dans un but d'information et de façon légitime des propos tombant sous le coup de la loi, feront l'objet de signalements massifs par ces mêmes groupes, de mauvaise foi, dans le but de les voir supprimés. Face à l'afflux de signalements sur un même contenu, on peut s'inquiéter du fait que les plateformes chercheront d'abord à se protéger contre une éventuelle responsabilité légale plutôt que de préserver le droit à la liberté d'expression des utilisateurs, et supprimeront ces contenus, en violation des droits des utilisateurs et du droit à l'information des citoyens.;Oui;Autre;RSF ignore quelles ont été les suites données aux signalements effectués par des journalistes victimes de harcèlement en ligne, que l'organisation les incite systématiquement à effectuer;;Oui;Autre;RSF ignore quelles ont été les suites données aux signalements effectués par des journalistes victimes de harcèlement en ligne, que l'organisation les incite systématiquement à effectuer;;Oui;Oui;Non;Oui;Non;"La détection automatique de contenus abusifs est de nature à entrainer des restrictions abusives du droit à la liberté d'expression et d'information. Cette liberté fondamentale a relevé historiquement du juge judiciaire, garant de ces libertés, et des algorithmes sont incapables de définir ce qui est conforme ou non à ce droit. Déléguer à de tels dispositifs techniques, élaborés par des entités privées, le plus souvent de droit étranger, revient à déléguer à des machines, ou à des entités privées, la préservation d'une liberté fondamentale. Ce qui constitue ou non un propos abusif relève d'une analyse fine et contextualisée de ce propos, par des humains, en mesure de se prononcer au regard du droit sur la nature de ce propos. Par exemple, un contenu journalistique d'enquête sur des groupes ""extremistes"", notamment racistes ou xénophobes, pourra légitimement contenir des propos tombant sous le coup de la loi, dans un but d'information des citoyens sur les discours de ces groupes. Les algorithmes seront incapables de faire la distinction entre ce qui relève d'un contenu haineux, et d'une information sur de tels contenus haineux, et on peut craindre que l'algorithme décidera sans distinction la suppression de tous ces contenus. L'identification de contenus haineux, et surtout la décision de retrait, doit relever d'une décision humaine et fondée en droit. A cette fin, un juge judiciaire, ou une entité indépendante, doit être en mesure de se prononcer sur la décision de retrait, ou sur le recours formé contre la décision de retrait.";Non;Non;Oui;Non;Non;Oui;Non;S'il peut être acceptable, dans une logique d'efficacité, que les opérateurs décident en premier ressort de la suppression ou non d'un contenu, cette décision doit être humaine et non technique, et basée sur une analyse du contenu au regard du droit à la liberté d'expression. Mais l'utilisateur doit pouvoir contester auprès d'un juge judiciaire, garant des libertés fondamentales, cette décision opérée par l'opérateur. A défaut, cela revient à déléguer la gestion de l’espace public numérique au secteur privé sans contrôle judiciaire ni responsabilité envers les utilisateurs.;Non;Non;Non;Non;Oui;Il ne revient pas à RSF d'indiquer les sanctions qui doivent être prononcées contre les auteurs de contenus haineux ou injurieux sur internet. cependant, la loi devrait prévoir un régime de sanctions aggravées contre les auteurs de notifications abusives visant à entraver la circulation d’informations journalistiques légitimes. Et face au phénomène des signalements abusifs visant à faire supprimer des contenus légitimes, un régime de sanctions contre les auteurs de signalements abusifs et de mauvaise foi doit être instauré.;Non;Non;Non;Non;Oui;Il ne revient pas à RSF d'indiquer les sanctions qui doivent être prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet. Cependant, la loi doit prévoir que la responsabilite? de ces opérateurs devra pouvoir e?tre engage?e et des sanctions leur être imposées quand elles restreignent abusivement la liberte? d’information (notamment du fait de retraits de contenus légitimes), ainsi qu'un mécanisme de recours en référé devant le CSA pour empêcher que des notifications abusives entravent la diffusion d’informations journalistiques légitimes.;;
682;24/04/2019 13:17;3;24/04/2019 12:07;24/04/2019 13:17;Oui, rarement;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;;;Vous ne le souhaitez pas;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Oui;Non;Non;;Non;Non;Non;Non;Oui;Non;Non;;Non;Oui;Non;Non;Non;Mais tout dépend de la gravité des propos utilisés.;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Un homme
683;24/04/2019 12:35;3;24/04/2019 12:30;24/04/2019 12:35;Oui, souvent;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Haine des politiques et de l’autorité;Non;;;Vous ne le souhaitez pas;Non;;;Vous ne le souhaitiez pas;Non;Non;Non;Non;Non;Internet doit tester un espace de luberté;Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Aucune peine;Non;Non;Non;Non;Non;Aucune peine;Entre 60 et 69 ans;Un homme
684;24/04/2019 13:45;3;24/04/2019 13:24;24/04/2019 13:45;Oui, de temps en temps;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Oui;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Non;Non;Non;Non;par la mise d'une carte d'identité numérique obligatoire lors de l'inscription sur un site internet seulement accessible lors procédure judicaire mise en action. mais, elle recense toute les actes de la personne signaler;Non;Non;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;une mise sous tutelle temporaire pour mettre en oeuvre la lutte;Entre 18 et 24 ans;Un homme
685;24/04/2019 13:42;3;24/04/2019 13:37;24/04/2019 13:42;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;;Oui;Autre;Variable. Parfois retrait mais seulement une fois sur deux environ;;Non;;;Vous pensez que cela est inutile;Oui;Oui;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Non;Non;Affichage de leur condamnation en rouge en tête de leur page d'accueil;Entre 25 et 39 ans;Un homme
686;24/04/2019 13:41;3;24/04/2019 13:38;24/04/2019 13:41;Oui, rarement;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;;Non;;;;Non;;;Vous ne le souhaitiez pas;Non;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Oui;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Oui;Non;Non;;Entre 40 et 59 ans;Une femme
687;24/04/2019 13:47;3;24/04/2019 13:45;24/04/2019 13:47;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Oui;Oui;Oui;Oui;Non;;Non;Oui;Non;Non;Non;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;70 ans et plus;Un homme
688;24/04/2019 14:09;3;24/04/2019 14:08;24/04/2019 14:09;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Oui;Oui;Oui;Non;;Non;Oui;Oui;Non;Oui;Non;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
689;24/04/2019 14:57;3;24/04/2019 14:54;24/04/2019 14:57;Oui, de temps en temps;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne le souhaitiez pas;Non;Non;Oui;Oui;Non;;Non;Oui;Non;Non;Non;Oui;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Un homme
690;;1;24/04/2019 15:35;24/04/2019 15:49;Oui, souvent;Non;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Non;Oui;;Oui;Autre;Soit Aucune suite car impossibilité de faire un signalement sur le site où cela a eu lieu. Soit je ne sais pas car le signalement est fait mais aucun retour. Parfois, impossibilité de faire un signalement car il faut attendre un certain délai entre deux signalements!;;Non;;;Vous pensez que cela est inutile;Non;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;;;
691;24/04/2019 15:55;3;24/04/2019 15:48;24/04/2019 15:55;Oui, de temps en temps;Non;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;;Oui;Je ne sais pas;;;Non;;;Vous ne le souhaitiez pas;Oui;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Un homme
692;24/04/2019 15:52;3;24/04/2019 15:50;24/04/2019 15:52;Oui, souvent;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Oui;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Non;Non;;Non;Non;Oui;Non;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Non;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
693;24/04/2019 16:12;3;24/04/2019 15:51;24/04/2019 16:12;Oui, souvent;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;;Oui;Autre;Suite variable. Des contenus manifestement litigieux sont supprimés, d'autres non, sans logique apparente.;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Oui;Oui;Non;Non;;Non;Oui;Oui;Non;Oui;Non;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Un homme
694;24/04/2019 16:23;3;24/04/2019 16:20;24/04/2019 16:23;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Oui;Non;;Non;Oui;Oui;Non;Oui;Non;Non;;Non;Oui;Oui;Non;Non;;Non;Non;Oui;Oui;Non;;Entre 25 et 39 ans;Un homme
695;24/04/2019 16:27;3;24/04/2019 16:24;24/04/2019 16:27;Oui, souvent;Oui;Oui;Non;Non;Oui;Non;Non;Oui;Non;Non;Oui;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous pensez que cela est inutile;Oui;Oui;Non;Non;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Un homme
696;24/04/2019 16:27;3;24/04/2019 16:24;24/04/2019 16:27;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;;Oui;Retrait du contenu;;;Non;;;Vous ne le souhaitiez pas;Oui;Oui;Non;Non;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Non;Oui;Non;Non;Non;;Entre 18 et 24 ans;Un homme
697;;0;24/04/2019 16:25;24/04/2019 16:25;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;
698;24/04/2019 16:50;3;24/04/2019 16:47;24/04/2019 16:50;Oui, de temps en temps;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous pensez que cela est inutile;Non;Oui;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Non;Oui;Oui;Non;Non;;Non;Oui;Oui;Non;Non;;Entre 40 et 59 ans;Un homme
699;24/04/2019 17:22;3;24/04/2019 17:18;24/04/2019 17:22;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Non;Non;;Non;Oui;Oui;Non;Oui;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Une femme
700;24/04/2019 17:27;3;24/04/2019 17:19;24/04/2019 17:27;Oui, souvent;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;expression et identité de genre;Oui;Aucune suite donnée au signalement;;;Oui;Non;;;Oui;Oui;Oui;Non;Non;par un service judiciaire qui les fait retirer de suite;Non;Non;Oui;Non;Oui;Non;Non;une autorité indépendante avec des pouvoirs;Non;Non;Oui;Oui;Non;;Non;Non;Oui;Oui;Non;;Entre 40 et 59 ans;Je ne souhaite pas répondre
701;24/04/2019 17:23;3;24/04/2019 17:21;24/04/2019 17:23;Oui, souvent;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;;Non;;;Vous pensez que cela est inutile;Oui;Non;;;Oui;Non;Oui;Oui;Non;;Non;Non;Non;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 25 et 39 ans;Un homme
702;24/04/2019 17:24;3;24/04/2019 17:21;24/04/2019 17:24;Oui, de temps en temps;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Oui;Non;Oui;Non;Non;;Non;Oui;Non;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
703;24/04/2019 18:02;3;24/04/2019 17:58;24/04/2019 18:02;Oui, rarement;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne le souhaitez pas;Non;;;Vous pensez que cela est inutile;Non;Oui;Non;Oui;Non;;Non;Non;Oui;Non;Non;Non;Non;;Non;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 60 et 69 ans;Un homme
704;24/04/2019 18:02;3;24/04/2019 18:00;24/04/2019 18:02;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;Oui;Aucune suite donnée au signalement;;;Oui;Je ne sais pas;;;Oui;Oui;Oui;Oui;Non;;Oui;Oui;Non;Non;Non;Non;Non;Milieu associatif;Oui;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Entre 25 et 39 ans;Un homme
705;24/04/2019 18:28;3;24/04/2019 18:25;24/04/2019 18:28;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;;Oui;Autre;Suites diverses...;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Oui;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Non;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Un homme
706;24/04/2019 18:29;3;24/04/2019 18:28;24/04/2019 18:29;Oui, souvent;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Oui;Non;;Non;Oui;Oui;Non;Oui;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
707;24/04/2019 19:02;3;24/04/2019 19:00;24/04/2019 19:02;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 18 et 24 ans;Un homme
708;24/04/2019 19:34;3;24/04/2019 19:31;24/04/2019 19:34;Oui, rarement;Oui;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous pensez que cela est inutile;Non;Oui;Oui;Oui;Non;;Non;Non;Oui;Oui;Oui;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Non;Oui;;Entre 12 et 17 ans;Une femme
709;24/04/2019 19:51;3;24/04/2019 19:48;24/04/2019 19:51;Oui, rarement;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Non;;;Vous ne saviez pas que cela était possible;Non;;;Vous ne saviez pas que cela était possible;Non;Non;Oui;Oui;Non;;Non;Oui;Non;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;;Non;Oui;Non;Oui;Non;;70 ans et plus;Une femme
710;24/04/2019 20:09;3;24/04/2019 20:06;24/04/2019 20:09;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Oui;Oui;Oui;Non;;Non;Oui;Oui;Oui;Non;Non;Non;;Oui;Non;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
711;24/04/2019 20:13;3;24/04/2019 20:09;24/04/2019 20:13;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;;Oui;Autre;Parfois retirer;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Oui;Non;;Non;Non;Non;Non;Oui;Non;Oui;;Non;Non;Non;Oui;Non;Un rappel à l ordre automatique;Oui;Non;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
712;;1;24/04/2019 20:20;24/04/2019 20:22;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Oui;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;;;
713;24/04/2019 21:05;3;24/04/2019 21:01;24/04/2019 21:05;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Non;Non;Non;Non;Aucune identification n'est nécessaire.;Oui;Non;Non;Non;Non;Non;Non;L'Etat devrait au contraire protéger la liberté d'expression. Ce sont les actions qui sont à condamner, pas les intentions, et l'écrit se combat par l'écrit.;Non;Non;Non;Non;Non;Aucune, la honte et le décri suffisent, ou bien seulement le fait de devoir être exposé à un droit de réponse.;Non;Non;Non;Non;Non;Aucune. La liberté d'expression doit être protégée contre les poursuites abusives.;Entre 18 et 24 ans;Une femme
714;24/04/2019 21:17;3;24/04/2019 21:08;24/04/2019 21:17;Oui, de temps en temps;Oui;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Non;Non;Oui;Oui;Non;Il faudrait que les opérateurs de télécommunication conjoitement avec les réseaux sociaux et autres services numériques mettent en place un  réel contrôle et de réelles sanctions;Non;Non;Oui;Non;Non;Non;Non;;Non;Non;Non;Oui;Non;Comme l'avais fait un journal il me semble régional faire une tribune de la hontge pour punir publiquement les malfaiteurs;Non;Oui;Non;Non;Non;;Entre 18 et 24 ans;Un homme
715;24/04/2019 21:30;3;24/04/2019 21:28;24/04/2019 21:30;Oui, de temps en temps;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
716;24/04/2019 21:51;3;24/04/2019 21:34;24/04/2019 21:51;Oui, de temps en temps;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Oui;Autre;Le contenu a été retiré et est réapparu quelques jours après;;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Non;Non;Non;;Non;Non;Oui;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
